sample_id,company,sample_status,annotator,review_item_id,dimension,human_gold_label,human_score_1_5,gold_reference,model_evidence,rule_score_or_deduction,rule_agreement,note
600309_2021-2023,万华化学,READY,A,600309-fact,fact,pass,5,"2023毛利率0.167851；净利率0.095892；CFO/净利润1.59355；流动比率0.569352；商誉/权益0.022842；非经常性损益/净利润0.022414","输出列示2023毛利率16.8%；净利率9.6%；CFO/净利润1.59；流动比率0.57；商誉占总权益2.28%；非经常性损益占净利润2.24%","total=98.0；轻微扣sourcing",agree,"核心数值与gold基本一致；四舍五入可接受"
600309_2021-2023,万华化学,READY,A,600309-na,na,not_applicable,5,"样本无missing_fields；10项指标均OK","输出未出现补0或臆测缺失字段","无N/A扣分",agree,"READY样本无N/A处理争议"
600309_2021-2023,万华化学,READY,A,600309-coverage,coverage,pass,5,"user_prompt要求收入趋势；盈利；现金流；营运资金；短期偿债；商誉；非经常性损益","输出含7个分节并逐项覆盖","coverage高分",agree,"覆盖完整且有边界声明"
600309_2021-2023,万华化学,READY,A,600309-sourcing,sourcing,pass,4.5,"输入为合并报表主表结构化字段；不允许外推未提供字段","开篇声明基于合并报表主表口径；多处说明无法从主表计算","规则轻微扣未显式锚定",partial_disagree,"人工认为已充分锚定主表；规则字面匹配略严"
600309_2021-2023,万华化学,READY,A,600309-structure,structure,pass,5,"输出应便于财务学习者核查","输出含标题；分节；注释；审慎小结","structure高分",agree,"结构清晰"
600309_2021-2023,万华化学,READY,A,600309-overall,overall,high_quality,5,"READY样本；全部指标可评测","输出事实准确；覆盖完整；无投资建议；边界清楚","total=98.0",agree,"可作为高质量参考输出"
000063_2021-2023,中兴通讯,PARTIAL,A,000063-fact,fact,pass,4.5,"2023毛利率0.415294；净利率0.075056；CFO/净利润1.866412；流动比率1.908994；短借/现金0.096257","输出列示收入增长；净利率约7.5%；2023 CFO远超净利润；流动比率1.91；货币资金/短借约10.4倍","total=75.5；规则扣N/A",partial_disagree,"主要事实正确；输出未逐项列出全部公式但关键判断成立"
000063_2021-2023,中兴通讯,PARTIAL,A,000063-na,na,pass,5,"goodwill_to_equity为N/A；missing_fields为2022.goodwill和2023.goodwill","输出说明2022及2023 goodwill为null；无法计算商誉余额及压力；建议查附注","规则误扣goodwill_to_equity被赋值为186206000",disagree,"186206000是2021真实商誉余额；模型未给缺失年份补值"
000063_2021-2023,中兴通讯,PARTIAL,A,000063-coverage,coverage,pass,5,"user_prompt要求7个维度；样本PARTIAL仅商誉指标N/A","输出覆盖收入；盈利；现金流；营运资金；短期偿债；商誉；非经常性损益","coverage高分",agree,"覆盖完整；N/A维度也有说明"
000063_2021-2023,中兴通讯,PARTIAL,A,000063-sourcing,sourcing,pass,4.5,"分析只能依据给定结构化字段；缺失字段不能臆测","输出开篇声明依据给定字段；对未提供字段不补0不臆测","无sourcing扣分",agree,"无投资建议或造假断言"
000063_2021-2023,中兴通讯,PARTIAL,A,000063-structure,structure,pass,4.5,"输出应便于核查","输出使用编号分节；有审慎小结","structure中高分",agree,"结构清楚"
000063_2021-2023,中兴通讯,PARTIAL,A,000063-overall,overall,good_with_partial_limit,4.5,"PARTIAL样本；商誉相关指标N/A","输出能正确处理缺失年份；核心趋势和流动性判断可靠","total=75.5",partial_disagree,"人工观感高于规则分；规则对N/A存在误伤"
601012_2023-2025,隆基绿能,PARTIAL,A,601012-fact,fact,pass,4.5,"2025毛利率0.008098；净利率-0.091256；CFO/净利润-0.679078；流动比率1.290801；收入CAGR-0.262958","输出列示收入连续下降；毛利率滑至0.8%；净利润亏损；CFO转正；流动比率降至1.29","total=70.0；规则扣N/A和sourcing",partial_disagree,"核心事实大体正确；部分措辞如粉饰偏强"
601012_2023-2025,隆基绿能,PARTIAL,A,601012-na,na,pass,5,"goodwill_to_equity为N/A；missing_fields为2025.goodwill","输出说明2025 goodwill为null；该指标无法从合并报表主表口径计算；不臆测商誉压力","规则误扣goodwill_to_equity被赋值为2023",disagree,"2023是年份；规则将年份误读为商誉赋值"
601012_2023-2025,隆基绿能,PARTIAL,A,601012-coverage,coverage,pass,5,"user_prompt要求7个维度；样本PARTIAL仅2025商誉N/A","输出覆盖收入；盈利；现金流；营运资金；短期偿债；商誉；非经常性损益","coverage高分",agree,"覆盖完整"
601012_2023-2025,隆基绿能,PARTIAL,A,601012-sourcing,sourcing,needs_review,3.5,"不得给出无来源买卖建议或过强归因；可提示风险边界","输出无买卖建议；但使用业绩依赖非经常性项目粉饰等较强措辞","规则扣无来源强结论",partial_agree,"人工认可需扣分但不同意等同于买卖建议；更准确应扣边界措辞过强"
601012_2023-2025,隆基绿能,PARTIAL,A,601012-structure,structure,partial,3.5,"输出应便于核查","输出为长段落；覆盖充分但分节弱","structure中等",agree,"建议拆成分节以便复核"
601012_2023-2025,隆基绿能,PARTIAL,A,601012-overall,overall,usable_with_review,4,"PARTIAL样本；2025 goodwill缺失；公司处于亏损下行窗口","输出能识别收入下滑和盈利恶化；N/A处理正确；个别措辞需人工复核","total=70.0",partial_disagree,"人工观感略高于规则分；规则存在年份误读"
